Country Name,Year,Indicator Name,Year.1,Value
Kenya,2021,Forest area (sq. km),2021,36110.9
Kenya,2020,Forest area (sq. km),2020,36110.9
Kenya,2019,Forest area (sq. km),2019,36110.9
Kenya,2018,Forest area (sq. km),2018,36110.9
Kenya,2017,Forest area (sq. km),2017,35815.3
Kenya,2016,Forest area (sq. km),2016,35519.7
Kenya,2015,Forest area (sq. km),2015,35224.1
Kenya,2014,Forest area (sq. km),2014,35411.96
Kenya,2013,Forest area (sq. km),2013,35599.82
Kenya,2012,Forest area (sq. km),2012,35787.68
Kenya,2011,Forest area (sq. km),2011,35975.54
Kenya,2010,Forest area (sq. km),2010,36163.4
Kenya,2009,Forest area (sq. km),2009,36508.25
Kenya,2008,Forest area (sq. km),2008,36853.1
Kenya,2007,Forest area (sq. km),2007,37197.95
Kenya,2006,Forest area (sq. km),2006,37542.8
Kenya,2005,Forest area (sq. km),2005,37887.65
Kenya,2004,Forest area (sq. km),2004,38232.5
Kenya,2003,Forest area (sq. km),2003,38577.35
Kenya,2002,Forest area (sq. km),2002,38922.2
Kenya,2001,Forest area (sq. km),2001,39267.05
Kenya,2000,Forest area (sq. km),2000,39611.9
Kenya,1999,Forest area (sq. km),1999,39509.25
Kenya,1998,Forest area (sq. km),1998,39406.6
Kenya,1997,Forest area (sq. km),1997,39303.95
Kenya,1996,Forest area (sq. km),1996,39201.3
Kenya,1995,Forest area (sq. km),1995,39098.65
Kenya,1994,Forest area (sq. km),1994,38996.0
Kenya,1993,Forest area (sq. km),1993,38893.35
Kenya,1992,Forest area (sq. km),1992,38790.7
Kenya,1991,Forest area (sq. km),1991,38688.05
Kenya,1990,Forest area (sq. km),1990,38585.4
Kenya,2021,Forest area (% of land area),2021,6.344818498
Kenya,2020,Forest area (% of land area),2020,6.344818498
Kenya,2019,Forest area (% of land area),2019,6.344818498
Kenya,2018,Forest area (% of land area),2018,6.344818498
Kenya,2017,Forest area (% of land area),2017,6.292880486
Kenya,2016,Forest area (% of land area),2016,6.240942475
Kenya,2015,Forest area (% of land area),2015,6.189004463
Kenya,2014,Forest area (% of land area),2014,6.222012159
Kenya,2013,Forest area (% of land area),2013,6.255019855
Kenya,2012,Forest area (% of land area),2012,6.28802755
Kenya,2011,Forest area (% of land area),2011,6.321035246
Kenya,2010,Forest area (% of land area),2010,6.354042942
Kenya,2009,Forest area (% of land area),2009,6.414634361
Kenya,2008,Forest area (% of land area),2008,6.475225779
Kenya,2007,Forest area (% of land area),2007,6.535817198
Kenya,2006,Forest area (% of land area),2006,6.596408617
Kenya,2005,Forest area (% of land area),2005,6.657000035
Kenya,2004,Forest area (% of land area),2004,6.717591454
Kenya,2003,Forest area (% of land area),2003,6.778182872
Kenya,2002,Forest area (% of land area),2002,6.838774291
Kenya,2001,Forest area (% of land area),2001,6.89936571
Kenya,2000,Forest area (% of land area),2000,6.959957128
Kenya,1999,Forest area (% of land area),1999,6.941921144
Kenya,1998,Forest area (% of land area),1998,6.92388516
Kenya,1997,Forest area (% of land area),1997,6.905849176
Kenya,1996,Forest area (% of land area),1996,6.887813192
Kenya,1995,Forest area (% of land area),1995,6.869777208
Kenya,1994,Forest area (% of land area),1994,6.851741224
Kenya,1993,Forest area (% of land area),1993,6.833705239
Kenya,1992,Forest area (% of land area),1992,6.815669255
Kenya,1991,Forest area (% of land area),1991,6.797633271
